This file was generated by MCCTexturePackDumper.
Name                            	  Format	Size    	Offset  

E_001_S_SML                     	    DXT5	0xA90     	0x10      
E_001_P_SML                     	    DXT5	0xA90     	0xAA0     
E_002_S_SML                     	    DXT5	0xA90     	0x1530    
E_002_P_SML                     	    DXT5	0xA90     	0x1FC0    
E_003_S_SML                     	    DXT5	0xA90     	0x2A50    
E_003_P_SML                     	    DXT5	0xA90     	0x34E0    
E_004_S_SML                     	    DXT5	0xA90     	0x3F70    
E_004_P_SML                     	    DXT5	0xA90     	0x4A00    
E_005_S_SML                     	    DXT5	0xA90     	0x5490    
E_005_P_SML                     	    DXT5	0xA90     	0x5F20    
E_006_S_SML                     	    DXT5	0xA90     	0x69B0    
E_006_P_SML                     	    DXT5	0xA90     	0x7440    
E_007_S_SML                     	    DXT5	0xA90     	0x7ED0    
E_007_P_SML                     	    DXT5	0xA90     	0x8960    
E_008_S_SML                     	    DXT5	0xA90     	0x93F0    
E_008_P_SML                     	    DXT5	0xA90     	0x9E80    
E_009_S_SML                     	    DXT5	0xA90     	0xA910    
E_009_P_SML                     	    DXT5	0xA90     	0xB3A0    
E_010_S_SML                     	    DXT5	0xA90     	0xBE30    
E_010_P_SML                     	    DXT5	0xA90     	0xC8C0    
E_011_S_SML                     	    DXT5	0xA90     	0xD350    
E_011_P_SML                     	    DXT5	0xA90     	0xDDE0    
E_012_S_SML                     	    DXT5	0xA90     	0xE870    
E_012_P_SML                     	    DXT5	0xA90     	0xF300    
E_013_S_SML                     	    DXT5	0xA90     	0xFD90    
E_013_P_SML                     	    DXT5	0xA90     	0x10820   
E_014_S_SML                     	    DXT5	0xA90     	0x112B0   
E_014_P_SML                     	    DXT5	0xA90     	0x11D40   
E_015_S_SML                     	    DXT5	0xA90     	0x127D0   
E_015_P_SML                     	    DXT5	0xA90     	0x13260   
E_016_S_SML                     	    DXT5	0xA90     	0x13CF0   
E_016_P_SML                     	    DXT5	0xA90     	0x14780   
E_017_S_SML                     	    DXT5	0xA90     	0x15210   
E_017_P_SML                     	    DXT5	0xA90     	0x15CA0   
E_018_S_SML                     	    DXT5	0xA90     	0x16730   
E_018_P_SML                     	    DXT5	0xA90     	0x171C0   
E_019_S_SML                     	    DXT5	0xA90     	0x17C50   
E_019_P_SML                     	    DXT5	0xA90     	0x186E0   
E_020_S_SML                     	    DXT5	0xA90     	0x19170   
E_020_P_SML                     	    DXT5	0xA90     	0x19C00   
E_021_S_SML                     	    DXT5	0xA90     	0x1A690   
E_021_P_SML                     	    DXT5	0xA90     	0x1B120   
E_022_S_SML                     	    DXT5	0xA90     	0x1BBB0   
E_022_P_SML                     	    DXT5	0xA90     	0x1C640   
E_023_S_SML                     	    DXT5	0xA90     	0x1D0D0   
E_023_P_SML                     	    DXT5	0xA90     	0x1DB60   
E_024_S_SML                     	    DXT5	0xA90     	0x1E5F0   
E_024_P_SML                     	    DXT5	0xA90     	0x1F080   
E_025_S_SML                     	    DXT5	0xA90     	0x1FB10   
E_025_P_SML                     	    DXT5	0xA90     	0x205A0   
E_026_S_SML                     	    DXT5	0xA90     	0x21030   
E_026_P_SML                     	    DXT5	0xA90     	0x21AC0   
E_027_S_SML                     	    DXT5	0xA90     	0x22550   
E_027_P_SML                     	    DXT5	0xA90     	0x22FE0   
E_028_S_SML                     	    DXT5	0xA90     	0x23A70   
E_028_P_SML                     	    DXT5	0xA90     	0x24500   
E_029_S_SML                     	    DXT5	0xA90     	0x24F90   
E_029_P_SML                     	    DXT5	0xA90     	0x25A20   
E_030_S_SML                     	    DXT5	0xA90     	0x264B0   
E_030_P_SML                     	    DXT5	0xA90     	0x26F40   
E_031_S_SML                     	    DXT5	0xA90     	0x279D0   
E_031_P_SML                     	    DXT5	0xA90     	0x28460   
E_032_S_SML                     	    DXT5	0xA90     	0x28EF0   
E_032_P_SML                     	    DXT5	0xA90     	0x29980   
E_033_S_SML                     	    DXT5	0xA90     	0x2A410   
E_033_P_SML                     	    DXT5	0xA90     	0x2AEA0   
E_034_S_SML                     	    DXT5	0xA90     	0x2B930   
E_034_P_SML                     	    DXT5	0xA90     	0x2C3C0   
E_035_S_SML                     	    DXT5	0xA90     	0x2CE50   
E_035_P_SML                     	    DXT5	0xA90     	0x2D8E0   
E_036_S_SML                     	    DXT5	0xA90     	0x2E370   
E_036_P_SML                     	    DXT5	0xA90     	0x2EE00   
E_037_S_SML                     	    DXT5	0xA90     	0x2F890   
E_037_P_SML                     	    DXT5	0xA90     	0x30320   
E_038_S_SML                     	    DXT5	0xA90     	0x30DB0   
E_038_P_SML                     	    DXT5	0xA90     	0x31840   
E_039_S_SML                     	    DXT5	0xA90     	0x322D0   
E_039_P_SML                     	    DXT5	0xA90     	0x32D60   
E_040_S_SML                     	    DXT5	0xA90     	0x337F0   
E_040_P_SML                     	    DXT5	0xA90     	0x34280   
E_041_S_SML                     	    DXT5	0xA90     	0x34D10   
E_041_P_SML                     	    DXT5	0xA90     	0x357A0   
E_042_S_SML                     	    DXT5	0xA90     	0x36230   
E_042_P_SML                     	    DXT5	0xA90     	0x36CC0   
E_043_S_SML                     	    DXT5	0xA90     	0x37750   
E_043_P_SML                     	    DXT5	0xA90     	0x381E0   
E_044_S_SML                     	    DXT5	0xA90     	0x38C70   
E_044_P_SML                     	    DXT5	0xA90     	0x39700   
E_045_S_SML                     	    DXT5	0xA90     	0x3A190   
E_045_P_SML                     	    DXT5	0xA90     	0x3AC20   
E_046_S_SML                     	    DXT5	0xA90     	0x3B6B0   
E_046_P_SML                     	    DXT5	0xA90     	0x3C140   
E_047_S_SML                     	    DXT5	0xA90     	0x3CBD0   
E_047_P_SML                     	    DXT5	0xA90     	0x3D660   
E_048_S_SML                     	    DXT5	0xA90     	0x3E0F0   
E_048_P_SML                     	    DXT5	0xA90     	0x3EB80   
E_049_S_SML                     	    DXT5	0xA90     	0x3F610   
E_049_P_SML                     	    DXT5	0xA90     	0x400A0   
E_050_S_SML                     	    DXT5	0xA90     	0x40B30   
E_050_P_SML                     	    DXT5	0xA90     	0x415C0   
E_052_S_SML                     	    DXT5	0xA90     	0x42050   
E_052_P_SML                     	    DXT5	0xA90     	0x42AE0   
E_053_S_SML                     	    DXT5	0xA90     	0x43570   
E_053_P_SML                     	    DXT5	0xA90     	0x44000   
E_054_S_SML                     	    DXT5	0xA90     	0x44A90   
E_054_P_SML                     	    DXT5	0xA90     	0x45520   
E_055_S_SML                     	    DXT5	0xA90     	0x45FB0   
E_055_P_SML                     	    DXT5	0xA90     	0x46A40   
E_056_S_SML                     	    DXT5	0xA90     	0x474D0   
