This file was generated by MCCTexturePackDumper.
Name                            	  Format	Size    	Offset  

ASTEROID_TINT                   	    DXT5	0x10E00   	0x10      
EDGER1                          	    DXT5	0x17C0    	0x10E10   
FLR_PODFLARE_A_01               	    DXT5	0x40000   	0x125D0   
FX_FLR_BLUEBLAST_A_01           	    DXT5	0x10000   	0x525D0   
FX_FLR_SOFTGLOW_A_01            	    DXT5	0x8000    	0x625D0   
FX_EDGEEFFECT                   	    DXT5	0x10000   	0x6A5D0   
FX_EDGEEFFECT2                  	    DXT5	0x10000   	0x7A5D0   
FX_BLURREDSTATIC                	    DXT5	0x40000   	0x8A5D0   
FX_ROUNDGLOW                    	    DXT5	0x4000    	0xCA5D0   
FX_DIAMONDGLOW                  	    DXT5	0x4000    	0xCE5D0   
FX_FLR_WEPCOLLISION_A_01        	    DXT5	0x10000   	0xD25D0   
GENERICBACKINGPATTERN           	A8R8G8B8	0x900     	0xE25D0   
GENERICBACKINGGRADIENT          	A8R8G8B8	0x3680    	0xE2ED0   
REBOOTRGB                       	    DXT1	0x3F4800  	0xE6550   
DOWNLOAD_BASE                   	A8R8G8B8	0x3C280   	0x4DAD50  
PLAYERDETAILSDOGTAG             	    DXT5	0x1A40    	0x516FD0  
GLOWDUMMYTEXTURE                	    DXT1	0x200     	0x518A10  
HALOLOGOLOADSCREEN              	    DXT5	0x11400   	0x518C10  
DIALOGUNDERICON                 	    DXT5	0x27100   	0x52A010  
BUTTON_TRIGGER                  	    DXT5	0x230     	0x551110  
ARROW                           	    DXT5	0x500     	0x551340  
BRIGHT_LIGHT_BAR                	    DXT5	0x6400    	0x551840  
BUTTONBARUNHIGHLIGHT            	    DXT5	0x8CA0    	0x557C40  
CAMPAIGNLOBBYINFOPANEL          	    DXT5	0x27A20   	0x5608E0  
CAMPAIGNLOBBYINFOPANELSHORT     	    DXT5	0x226B0   	0x588300  
CONTROLLERPAUSEFRAME            	    DXT5	0x4FB60   	0x5AA9B0  
DIALOGPANEL                     	    DXT1	0x3A8B8   	0x5FA510  
DIFFICULTYBOX                   	    DXT5	0xD2F0    	0x634DD0  
EXTRASFRAME                     	    DXT5	0x2A5A0   	0x6420C0  
GAMEBREADCRUMBFRAME             	    DXT5	0x7080    	0x66C660  
GENERICFRAME9SLICE              	    DXT5	0x1000    	0x6736E0  
GENERICFRAME9SLICEHIGHLIGHT     	    DXT5	0x4000    	0x6746E0  
GENERICSQUAREFRAME9SLICE        	    DXT5	0x10000   	0x6786E0  
HIGHLIGHTBARACTIVE              	    DXT5	0x8CA0    	0x6886E0  
HIGHLIGHTBARACTIVE2             	    DXT5	0x32A0    	0x691380  
HIGHLIGHTBOX1                   	    DXT5	0x10810   	0x694620  
HIGHLIGHTCRUMBHIGHLIGHT         	    DXT5	0x5460    	0x6A4E30  
HIGHLIGHTHORIZONTALGLOW         	    DXT5	0x2000    	0x6AA290  
ICONFRAME9SLICE                 	    DXT5	0x1000    	0x6AC290  
ICONFRAME9SLICEHIGHLIGHT        	    DXT5	0x1000    	0x6AD290  
LARGECONTROLLERFRAME            	    DXT5	0x4FB60   	0x6AE290  
LEVELFRAME                      	    DXT5	0xC580    	0x6FDDF0  
LOCKICON                        	    DXT5	0x460     	0x70A370  
MENUHIGHLIGHT1                  	    DXT5	0x2EE0    	0x70A7D0  
MENUHIGHLIGHTGLOWER             	    DXT5	0x2EE0    	0x70D6B0  
MENURECTFRAME                   	    DXT5	0x9380    	0x710590  
NEW_BUTTON_FX                   	    DXT5	0x2FD0    	0x719910  
NEW_BUTTON_FX2                  	    DXT5	0x2FD0    	0x71C8E0  
PAUSEOPTIONFRAME                	    DXT3	0xB5B0    	0x71F8B0  
PAUSEOPTIONFRAMEHIGHLIGHT       	    DXT3	0xB5B0    	0x72AE60  
