This file was generated by MCCTexturePackDumper.
Name                            	  Format	Size    	Offset  

H1_C01_PILLARAUTUMN             	    DXT1	0x62C0    	0x10      
H1_C02_HALO                     	    DXT1	0x62C0    	0x8010    
H1_C03_THETRUTHANDRECONCILIATION	    DXT1	0x62C0    	0x10010   
H1_C04_THESILENTCARTOGRAPHER    	    DXT1	0x62C0    	0x18010   
H1_C05_ASSAULTONTHECONTROLROOM  	    DXT1	0x62C0    	0x20010   
H1_C06_GUILTYSPARK              	    DXT1	0x62C0    	0x28010   
H1_C07_LIBRARY                  	    DXT1	0x62C0    	0x30010   
H1_C08_TWOBETRAYALS             	    DXT1	0x62C0    	0x38010   
H1_C09_KEYES                    	    DXT1	0x62C0    	0x40010   
H1_C10_THEMAW                   	    DXT1	0x62C0    	0x48010   
H1_C01_PILLARAUTUMN_LARGE       	    DXT1	0x17CF8   	0x50010   
H1_C02_HALO_LARGE               	    DXT1	0x17CF8   	0x6A010   
H1_C03_THETRUTHANDRE~ILIATION_LA	    DXT1	0x17CF8   	0x84010   
H1_C04_THESILENTCARTOGRAPHER_LAR	    DXT1	0x17CF8   	0x9E010   
H1_C05_ASSAULTONTHEC~TROLROOM_LA	    DXT1	0x17CF8   	0xB8010   
H1_C06_GUILTYSPARK_LARGE        	    DXT1	0x17CF8   	0xD2010   
H1_C07_LIBRARY_LARGE            	    DXT1	0x17CF8   	0xEC010   
H1_C08_TWOBETRAYALS_LARGE       	    DXT1	0x17CF8   	0x106010  
H1_C09_KEYES_LARGE              	    DXT1	0x17CF8   	0x120010  
H1_C10_THEMAW_LARGE             	    DXT1	0x17CF8   	0x13A010  
H2_C01_HERETIC                  	    DXT1	0x62C0    	0x154010  
H2_C02_THEARMORY                	    DXT1	0x62C0    	0x15C010  
H2_C03_CARIOSTATION             	    DXT1	0x62C0    	0x164010  
H2_C04_OUTSKIRTS                	    DXT1	0x62C0    	0x16C010  
H2_C05_METROPOLIS               	    DXT1	0x62C0    	0x174010  
H2_C06_THEARBITER               	    DXT1	0x62C0    	0x17C010  
H2_C07_THEORACLE                	    DXT1	0x62C0    	0x184010  
H2_C08_DELTAHALO                	    DXT1	0x62C0    	0x18C010  
H2_C09_REGRET                   	    DXT1	0x62C0    	0x194010  
H2_C10_SACREDICON               	    DXT1	0x62C0    	0x19C010  
H2_C11_QUARANTINEZONE           	    DXT1	0x62C0    	0x1A4010  
H2_C12_GRAVEMIND                	    DXT1	0x62C0    	0x1AC010  
H2_C13_UPRISING                 	    DXT1	0x62C0    	0x1B4010  
H2_C14_HIGHCHARITY              	    DXT1	0x62C0    	0x1BC010  
H2_C15_THEGREATJOURNEY          	    DXT1	0x62C0    	0x1C4010  
