This file was generated by MCCTexturePackDumper.
Name                            	  Format	Size    	Offset  

H1_C01_PILLARAUTUMN             	    DXT1	0x62C0    	0x10      
H1_C02_HALO                     	    DXT1	0x62C0    	0x62D0    
H1_C03_THETRUTHANDRECONCILIATION	    DXT1	0x62C0    	0xC590    
H1_C04_THESILENTCARTOGRAPHER    	    DXT1	0x62C0    	0x12850   
H1_C05_ASSAULTONTHECONTROLROOM  	    DXT1	0x62C0    	0x18B10   
H1_C06_GUILTYSPARK              	    DXT1	0x62C0    	0x1EDD0   
H1_C07_LIBRARY                  	    DXT1	0x62C0    	0x25090   
H1_C08_TWOBETRAYALS             	    DXT1	0x62C0    	0x2B350   
H1_C09_KEYES                    	    DXT1	0x62C0    	0x31610   
H1_C10_THEMAW                   	    DXT1	0x62C0    	0x378D0   
H1_C01_PILLARAUTUMN_LARGE       	    DXT1	0x17CF8   	0x3DB90   
H1_C02_HALO_LARGE               	    DXT1	0x17CF8   	0x55890   
H1_C03_THETRUTHANDRE~ILIATION_LA	    DXT1	0x17CF8   	0x6D590   
H1_C04_THESILENTCARTOGRAPHER_LAR	    DXT1	0x17CF8   	0x85290   
H1_C05_ASSAULTONTHEC~TROLROOM_LA	    DXT1	0x17CF8   	0x9CF90   
H1_C06_GUILTYSPARK_LARGE        	    DXT1	0x17CF8   	0xB4C90   
H1_C07_LIBRARY_LARGE            	    DXT1	0x17CF8   	0xCC990   
H1_C08_TWOBETRAYALS_LARGE       	    DXT1	0x17CF8   	0xE4690   
H1_C09_KEYES_LARGE              	    DXT1	0x17CF8   	0xFC390   
H1_C10_THEMAW_LARGE             	    DXT1	0x17CF8   	0x114090  
H2_C01_HERETIC                  	    DXT1	0x62C0    	0x12BD90  
H2_C02_THEARMORY                	    DXT1	0x62C0    	0x132050  
H2_C03_CARIOSTATION             	    DXT1	0x62C0    	0x138310  
H2_C04_OUTSKIRTS                	    DXT1	0x62C0    	0x13E5D0  
H2_C05_METROPOLIS               	    DXT1	0x62C0    	0x144890  
H2_C06_THEARBITER               	    DXT1	0x62C0    	0x14AB50  
H2_C07_THEORACLE                	    DXT1	0x62C0    	0x150E10  
H2_C08_DELTAHALO                	    DXT1	0x62C0    	0x1570D0  
H2_C09_REGRET                   	    DXT1	0x62C0    	0x15D390  
H2_C10_SACREDICON               	    DXT1	0x62C0    	0x163650  
H2_C11_QUARANTINEZONE           	    DXT1	0x62C0    	0x169910  
H2_C12_GRAVEMIND                	    DXT1	0x62C0    	0x16FBD0  
H2_C13_UPRISING                 	    DXT1	0x62C0    	0x175E90  
H2_C14_HIGHCHARITY              	    DXT1	0x62C0    	0x17C150  
H2_C15_THEGREATJOURNEY          	    DXT1	0x62C0    	0x182410  
