This file was generated by MCCTexturePackDumper.
Name                            	  Format	Size    	Offset  

H1_C01_LOADINGSCREEN            	    DXT1	0xFD200   	0x10      
H1_C02_LOADINGSCREEN            	    DXT1	0xFD200   	0xFF010   
H1_C03_LOADINGSCREEN            	    DXT1	0xFD200   	0x1FE010  
H1_C04_LOADINGSCREEN            	    DXT1	0xFD200   	0x2FD010  
H1_C05_LOADINGSCREEN            	    DXT1	0xFD200   	0x3FC010  
H1_C06_LOADINGSCREEN            	    DXT1	0xFD200   	0x4FB010  
H1_C07_LOADINGSCREEN            	    DXT1	0xFD200   	0x5FA010  
H1_C08_LOADINGSCREEN            	    DXT1	0xFD200   	0x6F9010  
H1_C09_LOADINGSCREEN            	    DXT1	0xFD200   	0x7F8010  
H1_C10_LOADINGSCREEN            	    DXT1	0xFD200   	0x8F7010  
H2_C01_LOADINGSCREEN            	    DXT1	0xFD200   	0x9F6010  
H2_C02_LOADINGSCREEN            	    DXT1	0xFD200   	0xAF5010  
H2_C03_LOADINGSCREEN            	    DXT1	0xFD200   	0xBF4010  
H2_C04_LOADINGSCREEN            	    DXT1	0xFD200   	0xCF3010  
H2_C05_LOADINGSCREEN            	    DXT1	0xFD200   	0xDF2010  
H2_C06_LOADINGSCREEN            	    DXT1	0xFD200   	0xEF1010  
H2_C07_LOADINGSCREEN            	    DXT1	0xFD200   	0xFF0010  
H2_C08_LOADINGSCREEN            	    DXT1	0xFD200   	0x10EF010 
H2_C09_LOADINGSCREEN            	    DXT1	0xFD200   	0x11EE010 
H2_C10_LOADINGSCREEN            	    DXT1	0xFD200   	0x12ED010 
H2_C11_LOADINGSCREEN            	    DXT1	0xFD200   	0x13EC010 
H2_C12_LOADINGSCREEN            	    DXT1	0xFD200   	0x14EB010 
H2_C13_LOADINGSCREEN            	    DXT1	0xFD200   	0x15EA010 
H2_C14_LOADINGSCREEN            	    DXT1	0xFD200   	0x16E9010 
H2_C15_LOADINGSCREEN            	    DXT1	0xFD200   	0x17E8010 
